"","STATE","NAME","YEAR","TOTALPOP"
"1",1,"Alabama","2000",4452173
"2",1,"Alabama","2001",4467634
"3",1,"Alabama","2002",4480089
"4",1,"Alabama","2003",4503491
"5",1,"Alabama","2004",4530729
"6",1,"Alabama","2005",4569805
"7",1,"Alabama","2006",4628981
"8",1,"Alabama","2007",4672840
"9",1,"Alabama","2008",4718206
"10",1,"Alabama","2009",4757938
"11",1,"Alabama","2010",4785298
"12",2,"Alaska","2000",627963
"13",2,"Alaska","2001",633714
"14",2,"Alaska","2002",642337
"15",2,"Alaska","2003",648414
"16",2,"Alaska","2004",659286
"17",2,"Alaska","2005",666946
"18",2,"Alaska","2006",675302
"19",2,"Alaska","2007",680300
"20",2,"Alaska","2008",687455
"21",2,"Alaska","2009",698895
"22",2,"Alaska","2010",713985
"23",4,"Arizona","2000",5160586
"24",4,"Arizona","2001",5273477
"25",4,"Arizona","2002",5396255
"26",4,"Arizona","2003",5510364
"27",4,"Arizona","2004",5652404
"28",4,"Arizona","2005",5839077
"29",4,"Arizona","2006",6029141
"30",4,"Arizona","2007",6167681
"31",4,"Arizona","2008",6280362
"32",4,"Arizona","2009",6343154
"33",4,"Arizona","2010",6413737
"34",5,"Arkansas","2000",2678588
"35",5,"Arkansas","2001",2691571
"36",5,"Arkansas","2002",2705927
"37",5,"Arkansas","2003",2724816
"38",5,"Arkansas","2004",2749686
"39",5,"Arkansas","2005",2781097
"40",5,"Arkansas","2006",2821761
"41",5,"Arkansas","2007",2848650
"42",5,"Arkansas","2008",2874554
"43",5,"Arkansas","2009",2896843
"44",5,"Arkansas","2010",2921606
"45",6,"California","2000",33987977
"46",6,"California","2001",34479458
"47",6,"California","2002",34871843
"48",6,"California","2003",35253159
"49",6,"California","2004",35574576
"50",6,"California","2005",35827943
"51",6,"California","2006",36021202
"52",6,"California","2007",36250311
"53",6,"California","2008",36604337
"54",6,"California","2009",36961229
"55",6,"California","2010",37349363
"56",8,"Colorado","2000",4326921
"57",8,"Colorado","2001",4425687
"58",8,"Colorado","2002",4490406
"59",8,"Colorado","2003",4528732
"60",8,"Colorado","2004",4575013
"61",8,"Colorado","2005",4631888
"62",8,"Colorado","2006",4720423
"63",8,"Colorado","2007",4803868
"64",8,"Colorado","2008",4889730
"65",8,"Colorado","2009",4972195
"66",8,"Colorado","2010",5049071
"67",9,"Connecticut","2000",3411777
"68",9,"Connecticut","2001",3432835
"69",9,"Connecticut","2002",3458749
"70",9,"Connecticut","2003",3484336
"71",9,"Connecticut","2004",3496094
"72",9,"Connecticut","2005",3506956
"73",9,"Connecticut","2006",3517460
"74",9,"Connecticut","2007",3527270
"75",9,"Connecticut","2008",3545579
"76",9,"Connecticut","2009",3561807
"77",9,"Connecticut","2010",3577073
"78",10,"Delaware","2000",786373
"79",10,"Delaware","2001",795699
"80",10,"Delaware","2002",806169
"81",10,"Delaware","2003",818003
"82",10,"Delaware","2004",830803
"83",10,"Delaware","2005",845150
"84",10,"Delaware","2006",859268
"85",10,"Delaware","2007",871749
"86",10,"Delaware","2008",883874
"87",10,"Delaware","2009",891730
"88",10,"Delaware","2010",899769
"89",11,"District of Columbia","2000",572046
"90",11,"District of Columbia","2001",574504
"91",11,"District of Columbia","2002",573158
"92",11,"District of Columbia","2003",568502
"93",11,"District of Columbia","2004",567754
"94",11,"District of Columbia","2005",567136
"95",11,"District of Columbia","2006",570681
"96",11,"District of Columbia","2007",574404
"97",11,"District of Columbia","2008",580236
"98",11,"District of Columbia","2009",592228
"99",11,"District of Columbia","2010",604453
"100",12,"Florida","2000",16047515
"101",12,"Florida","2001",16356966
"102",12,"Florida","2002",16689370
"103",12,"Florida","2003",17004085
"104",12,"Florida","2004",17415318
"105",12,"Florida","2005",17842038
"106",12,"Florida","2006",18166990
"107",12,"Florida","2007",18367842
"108",12,"Florida","2008",18527305
"109",12,"Florida","2009",18652644
"110",12,"Florida","2010",18843326
"111",13,"Georgia","2000",8227303
"112",13,"Georgia","2001",8377038
"113",13,"Georgia","2002",8508256
"114",13,"Georgia","2003",8622793
"115",13,"Georgia","2004",8769252
"116",13,"Georgia","2005",8925922
"117",13,"Georgia","2006",9155813
"118",13,"Georgia","2007",9349988
"119",13,"Georgia","2008",9504843
"120",13,"Georgia","2009",9620846
"121",13,"Georgia","2010",9712587
"122",15,"Hawaii","2000",1213519
"123",15,"Hawaii","2001",1225948
"124",15,"Hawaii","2002",1239613
"125",15,"Hawaii","2003",1251154
"126",15,"Hawaii","2004",1273569
"127",15,"Hawaii","2005",1292729
"128",15,"Hawaii","2006",1309731
"129",15,"Hawaii","2007",1315675
"130",15,"Hawaii","2008",1332213
"131",15,"Hawaii","2009",1346717
"132",15,"Hawaii","2010",1363621
"133",16,"Idaho","2000",1299430
"134",16,"Idaho","2001",1319962
"135",16,"Idaho","2002",1340372
"136",16,"Idaho","2003",1363380
"137",16,"Idaho","2004",1391802
"138",16,"Idaho","2005",1428241
"139",16,"Idaho","2006",1468669
"140",16,"Idaho","2007",1505105
"141",16,"Idaho","2008",1534320
"142",16,"Idaho","2009",1554439
"143",16,"Idaho","2010",1571450
"144",17,"Illinois","2000",12434161
"145",17,"Illinois","2001",12488445
"146",17,"Illinois","2002",12525556
"147",17,"Illinois","2003",12556006
"148",17,"Illinois","2004",12589773
"149",17,"Illinois","2005",12609903
"150",17,"Illinois","2006",12643955
"151",17,"Illinois","2007",12695866
"152",17,"Illinois","2008",12747038
"153",17,"Illinois","2009",12796778
"154",17,"Illinois","2010",12843166
"155",18,"Indiana","2000",6091866
"156",18,"Indiana","2001",6127760
"157",18,"Indiana","2002",6155967
"158",18,"Indiana","2003",6196638
"159",18,"Indiana","2004",6233007
"160",18,"Indiana","2005",6278616
