STFIPS,NAME,YEAR,AdmAlc,AdmCoc,AdmMar,AdmHer,AdmOpi,AdmBen,AdmNMJ,RatAlc,RatCoc,RatMar,RatHer,RatOpi,RatBen,RatNMJ,lRatAlc,lRatCoc,lRatMar,lRatHer,lRatOpi,lRatBen,lRatNMJ,P017,P1824,P2565,P65
4,Arizona,2000,4269,554,790,380,22,6,12756,82.72316360971409,10.735214954270697,15.308339014212727,7.363504842279539,0.42630817507934177,0.11626586593072957,247.18123096873109,4.427515684844192,2.46259414649958,2.7916765729560886,2.1238775787474045,0.3550894101997064,0.10998906670731728,5.514159249317778,0.266135279985645,0.100691471859979,0.503084920976029,0.130088327178348
4,Arizona,2001,5072,723,1005,811,71,14,13112,96.17942772861245,13.710119528349132,19.057635029033026,15.378847769697298,1.3463602856331789,0.2654794929417536,248.64050796087668,4.57655904018302,2.6885356602328914,2.9986098807198864,2.7959907322203637,0.8528653128786321,0.23545109616352877,5.520021914837352,0.265292709155648,0.101644133462609,0.503502907095262,0.129560250286481
4,Arizona,2002,3937,622,1013,497,68,16,17486,72.95800513504273,11.526512368299867,18.772278181813128,9.210091072419669,1.2601331849588278,0.2965019258726654,324.0395422380892,4.303497433941034,2.527847387649533,2.9842808648284986,2.3233765520603638,0.8154237429455192,0.2596698114352515,5.7839468433536245,0.264616479391726,0.101812645992452,0.504569928589364,0.129000946026457
4,Arizona,2003,3501,665,1024,615,57,22,14819,63.53482274492211,12.06816827345707,18.583164378977507,11.16078720026481,1.0344144234391774,0.39924767220459484,268.9296024727223,4.167204965633067,2.5701793704126583,2.9746702368624742,2.498216611306563,0.7102080248760915,0.3359347151857289,5.598161193419476,0.263806710409693,0.101601092051269,0.505438479200285,0.129153718338752
4,Arizona,2004,7494,1089,2674,603,110,65,31938,132.58075678950053,19.266138796872976,47.307304998015006,10.668027267689995,1.9460746259467654,1.1499531880594522,565.033921849889,4.894706214721631,3.0089514537578776,3.877582791417507,2.456852388966234,1.0804736489982105,0.7654460689069328,6.338654009004274,0.262623478435016,0.101053640185663,0.507063897060437,0.129258984318884
5,Arkansas,2000,5691,1957,2637,59,349,0,10752,212.4626855641853,73.06088133001417,98.44739093880806,2.2026530395865285,13.029252725689803,0,401.4055166378704,5.363462042518761,4.304887475630892,4.599628770051949,1.1639795411837413,2.641144630093572,0,5.9974603280302015,0.254006215214882,0.0984656841589673,0.50771413894186,0.13981396168429
5,Arkansas,2001,4964,1652,2757,31,368,0,9384,184.42760751992054,61.37679444458274,102.43088515963353,1.1517437214177149,13.67231256392642,0,348.64397038012373,5.222664549920514,4.1331933223084985,4.638903613408139,0.7662785466473908,2.6859622187172936,0,5.856915409271093,0.252494175334777,0.0996187728282107,0.508727059401368,0.139159992435644
5,Arkansas,2002,5132,2022,3046,52,507,0,10792,189.65774021250388,74.7248539964308,112.56770785021179,1.9217074222623154,18.736647367057575,0,398.82820194336364,5.250479884548448,4.327106428835256,4.732399203995046,1.0721681790415603,2.9824771800195444,0,5.991034959706935,0.250855991310926,0.100595101050398,0.50986408724256,0.138684820396116
5,Arkansas,2003,4415,2473,2836,65,520,0,10772,162.02928931715022,90.75842185307191,104.08042231108449,2.3854821756771836,19.08385740541747,0,395.3294460983787,5.093929873726887,4.51915927403625,4.654725983757536,1.2194963410285613,2.999916378237748,0,5.982245799980575,0.249403629456081,0.100969019559486,0.511001109799708,0.138626241184726
5,Arkansas,2004,2146,970,1441,24,264,2,4934,78.04527498776224,35.27675523677976,52.405983810515096,0.8728269336935199,9.60109627062872,0.07273557780779333,179.43867045182614,4.370020789418211,3.591177184554286,3.9779227960649894,0.6274490186020011,2.3609574175277865,0.07021200066749339,5.195390944145869,0.248452368743195,0.100294724561277,0.513008030735146,0.138244875960382
6,California,2000,46956,21323,18786,58080,2280,215,164607,138.15473630572362,62.73689075404518,55.272486503094896,170.88395699455722,6.708254510116915,0.6325766314364636,484.3094956784277,4.935586524803518,4.154763527662048,4.030205721256788,5.1468195804858565,2.042291768963534,0.4901595222223148,6.184786822835093,0.2726578578066,0.0997810490456669,0.521392697188185,0.106168395959548
6,California,2001,43511,20535,21691,47946,2251,219,157092,126.1939790352853,59.55720069613623,62.90992161187685,139.05671023018982,6.5285248973461245,0.6351607963211022,455.61041011723563,4.845713315157442,4.103588384417126,4.157474617122193,4.942047413662141,2.0186991258547415,0.49174114588729206,6.123830533041307,0.27046440231166,0.101188742584063,0.522438983814653,0.105907871289624
6,California,2002,47606,24434,28199,47375,2960,247,185224,136.5170174687928,70.0679915311617,80.86466780663127,135.85459191244925,8.48822357912084,0.7083078459604214,531.1563257496887,4.923747672857969,4.26363704600837,4.405067491264024,4.918918989271209,2.2500514063876027,0.535503316807264,6.276937291571694,0.268558848466942,0.102007513626395,0.523557243590481,0.105876394316182
6,California,2003,43638,23589,27165,38667,3374,255,174996,123.78465146910663,66.9131523787698,77.05692417522073,109.68378748695967,9.570773501461245,0.7233394317938997,496.39806747531475,4.826589463348865,4.218229717997817,4.357438357635383,4.7066773744900745,2.3580929761508895,0.5442639386045158,6.209390646109072,0.266773085498522,0.102350629059938,0.524633863308534,0.106242422133007
6,California,2004,35950,21064,24390,34093,3321,215,157698,101.05531545899521,59.210825169075804,68.56019872169382,95.83529540872111,9.335318571330268,0.6043641953736848,443.28848782343886,4.6255149747097235,4.097852156233397,4.242192546320613,4.573011549815008,2.3355670171705447,0.4727275381437292,6.096474098787893,0.26475359818765,0.102938429961892,0.525957189201637,0.106350782648822
8,Colorado,2000,42245,2646,5093,1814,396,72,49935,976.3293575269805,61.15202935297409,117.70494538726267,41.923575678871885,9.152004392962109,1.6640007987203835,1154.0538872791992,6.884823706315473,4.129583469925233,4.7766409636564475,3.759421224610929,2.3176711631308766,0.9798290524980616,7.051902277520539,0.255765242767317,0.100224848107927,0.547339320500652,0.0966705886241048
8,Colorado,2001,34064,1920,3314,1137,324,55,39561,769.6884122171315,43.38309509913376,74.88102977006734,25.690926629018275,7.320897297978822,1.242744911693936,893.8951173004326,6.6472841572708,3.7928586559274167,4.329166716008825,3.2843236810235212,2.1187700973326677,0.8077005226748074,6.79670652403406,0.254569968459134,0.102517868977178,0.546782228386237,0.0961299341774509
