"","STFIPS","ADMYR","AdmAlc","AdmCoc","AdmMar","AdmHer","AdmOpi","AdmPCP","AdmHal","AdmBen","AdmNMJ"
"1",1,2015,2677,923,2780,858,1805,0,13,200,8292
"2",1,2016,3047,984,3020,1012,1425,0,7,236,9064
"3",1,2017,2839,966,3136,1255,1593,0,6,220,9650
"4",1,2018,3265,974,3805,2807,3656,0,12,204,14511
"5",1,2019,3439,870,3707,2699,2940,0,11,224,13842
"6",2,2015,4423,73,604,696,248,0,6,8,6140
"7",2,2016,4558,65,632,966,313,0,3,15,6663
"8",2,2017,4742,62,564,1056,240,0,5,6,7008
"9",2,2018,4301,71,552,1455,268,0,0,16,7049
"10",2,2019,3565,64,455,1348,253,0,6,19,6151
"11",4,2015,7101,674,4710,4041,1245,0,49,85,19042
"12",4,2016,8256,820,5302,5657,1506,0,66,130,25381
"13",4,2017,11520,1081,6744,10211,2382,0,98,151,53015
"14",4,2018,24989,2694,12593,22024,6704,0,175,313,136462
"15",4,2019,10900,1094,5218,7238,2952,0,73,120,131324
"16",5,2015,3315,499,2252,132,1649,29,19,131,9491
"17",5,2016,3315,591,2597,211,1556,35,27,131,9966
"18",5,2017,2653,527,2524,251,1287,35,33,132,9000
"19",5,2018,2723,473,2410,305,1247,25,21,131,8976
"20",5,2019,3272,404,2447,421,1565,29,32,143,11272
"21",6,2015,31964,4970,22150,37158,7686,302,86,358,129197
"22",6,2016,31947,4493,20989,38028,7431,268,83,496,132732
"23",6,2017,30990,4468,18415,37035,6495,254,82,527,128278
"24",6,2018,35852,5018,18066,43386,7605,245,82,516,147154
"25",6,2019,33342,4322,15128,36419,6319,403,70,481,131371
"26",8,2015,49377,1742,5907,6578,2021,11,80,267,69395
"27",8,2016,56511,1961,6339,9172,2601,10,95,376,83672
"28",8,2017,48869,2027,6017,9801,2705,2,77,335,78006
"29",8,2018,48227,1876,5771,10846,2431,7,84,368,78458
"30",8,2019,44512,1644,5651,10506,2571,9,100,311,75224
"31",9,2015,23298,4059,8152,23787,2882,911,189,779,59714
"32",9,2016,22857,4358,7829,25074,2821,1020,145,921,61197
"33",9,2017,22819,4453,7802,24839,2827,887,126,1036,61508
"34",9,2018,23562,4859,7186,21998,2795,818,168,1007,59531
"35",9,2019,23609,4462,6363,19902,3288,676,148,807,58465
"36",10,2015,750,153,756,2811,424,17,4,17,7283
"37",10,2016,518,160,322,2548,312,13,6,14,6974
"38",10,2017,1457,504,586,5681,540,33,12,49,11378
"39",10,2018,3038,910,1173,9088,1128,55,45,82,18095
"40",10,2019,3005,815,1296,7779,1103,54,50,57,14685
"41",11,2015,2377,917,572,1590,117,484,59,9,5638
"42",11,2016,1815,723,418,1715,110,390,69,6,4888
"43",11,2017,1855,954,548,1600,99,453,87,6,5122
"44",11,2018,1837,980,419,1486,86,481,82,5,5018
"45",11,2019,1751,989,414,1480,80,449,96,7,4929
"46",12,2015,11243,1754,4746,4327,6553,2,50,710,26890
"47",12,2016,10572,1857,4931,5403,6258,2,74,680,26932
"48",12,2017,15888,3659,8067,10231,8642,6,140,1114,44144
"49",12,2018,26511,8202,20073,17264,15845,6,154,1360,81600
"50",12,2019,15114,4547,13115,7006,5953,11,66,564,47177
"51",13,2015,17822,4485,8963,1493,2920,3,33,769,37393
"52",13,2016,14590,3810,6469,1126,3134,2,33,681,29424
"53",13,2017,12618,3297,6123,1250,2916,6,28,614,26856
"54",13,2018,12687,3514,7481,1646,2875,4,29,577,28440
"55",13,2019,13181,3318,7274,1865,2623,6,40,481,29559
"56",15,2015,1550,144,1743,210,282,0,2,18,4743
"57",15,2016,1419,122,1577,235,244,0,6,19,4688
"58",15,2017,1113,119,1189,235,204,0,3,18,4045
"59",15,2018,554,87,350,206,130,0,2,9,2429
"60",15,2019,585,63,357,167,80,0,0,12,2127
"61",16,2015,923,19,433,208,177,0,3,6,2426
"62",16,2016,748,22,405,260,124,0,3,11,2458
"63",16,2017,815,11,351,295,106,0,3,9,2490
"64",16,2018,358,6,198,150,58,0,3,0,1252
"65",16,2019,184,9,112,77,18,0,0,0,578
"66",17,2015,13484,3832,8559,16577,1676,110,106,300,38243
"67",17,2016,7267,1742,5305,9195,1166,61,41,190,21344
"68",17,2017,10795,3207,6933,16287,1476,97,67,327,35357
"69",17,2018,13153,3655,8562,17605,1682,113,66,344,41118
"70",17,2019,14248,3890,8107,14488,1736,134,59,366,40598
"71",18,2015,7342,793,4437,3322,2490,7,45,308,17432
"72",18,2016,6368,920,4349,3797,2236,6,25,211,17251
"73",18,2017,7204,1120,5215,4496,2405,12,32,217,20622
"74",18,2018,9059,1352,6336,5515,2735,18,50,270,26468
"75",18,2019,7750,1188,5124,4888,2271,29,46,263,23758
"76",19,2015,11702,488,7541,903,1465,8,69,161,21399
"77",19,2016,10491,425,7062,943,1437,7,40,145,20675
"78",19,2017,10124,499,6798,953,1237,10,20,154,20960
"79",19,2018,10310,495,6569,1083,1235,9,30,172,22098
"80",19,2019,10091,415,6192,1047,1099,11,42,149,21893
"81",20,2015,1984,203,1805,85,411,17,17,51,4489
"82",20,2016,3897,453,3112,242,752,54,28,78,10060
"83",20,2017,3994,469,2969,279,687,45,27,76,10398
"84",20,2018,3240,356,2610,287,566,35,12,82,8878
"85",20,2019,2678,369,1744,254,359,25,16,37,8299
"86",21,2015,4436,1036,2442,4857,3542,0,16,304,16560
"87",21,2016,4040,1088,2941,4870,3353,0,19,353,16744
"88",21,2017,3903,1097,2770,4789,3341,0,12,356,17648
"89",21,2018,4011,1066,2789,4290,2845,2,20,321,17965
"90",21,2019,4283,1170,3133,3606,2765,0,22,254,18864
"91",22,2015,1724,652,1035,1032,969,29,12,148,10213
"92",22,2016,1503,547,659,1102,735,41,16,77,10852
"93",22,2017,2083,975,1329,1206,807,38,29,156,15121
"94",22,2018,2165,984,1221,1455,746,51,27,132,13831
"95",22,2019,2111,909,1496,1492,696,32,31,88,10656
"96",23,2015,4529,298,790,3806,2711,0,6,78,12003
"97",23,2016,3739,320,546,3215,2237,0,8,70,9895
"98",23,2017,3283,332,439,2811,1558,2,8,57,8407
"99",23,2018,3358,403,348,2949,1254,0,11,73,8355
